epoch,dataset,loss,loss_position,loss_dimension,loss_obj,loss_class,precision,recall,mAP
0,Validation,1.5149820558726788,0.07804074021987617,1.066962020471692,0.25008440390229225,0.1198949022218585,1.0,1.0,0.0
0,Real,1.6850427985191345,0.07791877005781446,1.2371413792882646,0.25008710367339,0.11989553538816315,1.0,1.0,0.0
0,Training,0.5415186340618133,0.06946009345710277,0.308062713239193,0.051239899685382846,0.11275592777013779,1.0,1.0,0.0
1,Validation,0.46853427309542894,0.06442621932365,0.2464628112502396,0.04714330460410565,0.11050193547271192,1.0,1.0,0.0
1,Real,0.622541287115642,0.07648586428591184,0.36155139548437937,0.07808592250304562,0.10641810457621302,1.0,1.0,0.0
1,Training,0.4317578070068359,0.06154838264286518,0.2195928761470318,0.04198043038904667,0.10863611758947372,1.0,1.0,0.0
2,Validation,0.41378009505569935,0.05899921106174588,0.20847688615322113,0.03768945822957903,0.10861453763209283,1.0,1.0,0.0
2,Real,0.6157688668795994,0.07212842894451958,0.36317880877426695,0.07273126074245997,0.10773036895053727,1.0,1.0,0.0
2,Training,0.3906745250415802,0.056414152643084525,0.1928080948281288,0.03466842367947102,0.1067838538467884,1.0,1.0,0.0
3,Validation,0.38150772731751204,0.054552007582969964,0.18535193265415728,0.03447209938894957,0.10713168536312878,1.0,1.0,0.0
3,Real,0.5684314795902797,0.0693407372704574,0.31946418221507755,0.07024794497660228,0.10937861406377383,1.0,1.0,0.0
3,Training,0.3663449174642563,0.052663006134033206,0.17565081098794938,0.032620703006088735,0.10541039752006531,1.0,1.0,0.0
4,Validation,0.3623658465221524,0.051149197621271014,0.17309189890511334,0.03262114629615098,0.10550360172055662,1.0,1.0,0.0
4,Real,0.5641724105392184,0.06706826974238668,0.3192120407308851,0.06764579457896096,0.11024630814790726,1.0,1.0,0.0
4,Training,0.3473074972176552,0.04973633638381958,0.1625300672495365,0.031019974432885646,0.10402111932992936,1.0,1.0,0.0
5,Validation,0.3470904780551791,0.048597190296277404,0.16258437768556178,0.03123721614247188,0.10467169340699911,1.0,1.0,0.0
5,Real,0.5259457102843693,0.06501729041337967,0.28628778883389067,0.06461716150598866,0.11002346341099058,1.0,1.0,0.0
5,Training,0.3326980292892456,0.04725729167878628,0.15259528341174125,0.029511094470024108,0.10333435961961747,1.0,1.0,0.0
6,Validation,0.3385259183123708,0.046609217301011086,0.1577816919889301,0.029931831173598766,0.10420317528769374,1.0,1.0,0.0
6,Real,0.5314052892582757,0.06462052091956139,0.2909856630223138,0.06416080306683268,0.1116383123610701,1.0,1.0,0.0
6,Training,0.3203750565600395,0.04511214579194784,0.14441915390133858,0.028158715495467185,0.10268504135251046,1.0,1.0,0.0
7,Validation,0.32718258164823055,0.04470710887107998,0.15072573744691908,0.028628497035242617,0.10312123782932758,1.0,1.0,0.0
7,Real,0.5160601905414036,0.06247138737567833,0.2808657480137689,0.06156113477689879,0.11116192170551845,1.0,1.0,0.0
7,Training,0.3092994640803337,0.043199140422344205,0.13739130863249302,0.026963003942370414,0.10174601127386093,1.0,1.0,0.0
8,Validation,0.3190452866256237,0.04303109226748347,0.14611729397438467,0.027439660218078643,0.10245724208652973,1.0,1.0,0.0
8,Real,0.5096125219549451,0.06136317178606987,0.2748777578983988,0.06163483113050461,0.11173676220434052,1.0,1.0,0.0
8,Training,0.2995561956048012,0.04146616570830345,0.13117497925698757,0.025980104040950535,0.10093494655251503,1.0,1.0,0.0
9,Validation,0.31388977263122797,0.04193383204983547,0.14367198990657926,0.02667204785393551,0.10161190154030919,1.0,1.0,0.0
9,Real,0.5136802515813282,0.061046981651868136,0.28083339439971106,0.059964069830519814,0.11183579904692513,1.0,1.0,0.0
9,Training,0.29067108952999116,0.03987813235402107,0.12562880266427995,0.025103245283663273,0.10006090910673142,1.0,1.0,0.0
10,Validation,0.3055983320809901,0.040938417660072446,0.13828940538223833,0.0256643223692663,0.1007061863783747,1.0,1.0,0.0
10,Real,0.5138134509325027,0.05826980194875172,0.2856586511645998,0.05902548347200666,0.11085952020117215,1.0,1.0,0.0
10,Training,0.2826325670981407,0.038485882839262485,0.12037168463051319,0.024356295621097087,0.09941870378732681,1.0,1.0,0.0
11,Validation,0.2984613166190684,0.03958747582510114,0.1340270726941526,0.02479199750814587,0.1000547707080841,1.0,1.0,0.0
11,Real,0.498995983174869,0.05800723657011986,0.27064484996455057,0.058832209557294846,0.11151168814727239,1.0,1.0,0.0
11,Training,0.27554445419073104,0.03729301643759012,0.11566831354498863,0.02369810011804104,0.09888502393484115,1.0,1.0,0.0
12,Validation,0.29433551896363497,0.03864546597469598,0.1318269893527031,0.024127775395754725,0.09973528538830578,1.0,1.0,0.0
12,Real,0.49172134484563557,0.05629847863955157,0.26600217819213867,0.05896753099347864,0.11045316074575696,1.0,1.0,0.0

12,Training,0.2689934202194214,0.03621413899302483,0.11127294194638729,0.023085578996986152,0.0984207601261139,1.0,1.0,0.0
13,Validation,0.2755650086328387,0.0361648250836879,0.1185000273399055,0.022389988997019827,0.09851016639731824,1.0,1.0,0.0
13,Real,0.5000234012092862,0.05667488596269062,0.2731558063200542,0.057613105912293704,0.1125795990228653,1.0,1.0,0.0
13,Training,0.2629061563467979,0.03522370297789574,0.10709671554505824,0.022557407264113427,0.09802833055853843,1.0,1.0,0.0
14,Validation,0.2724275388754904,0.035269443469587713,0.11661366140469909,0.022455241298303008,0.09808919089846313,1.0,1.0,0.0
14,Real,0.506806384239878,0.05617862035121236,0.28121104197842733,0.05751814214246614,0.1118985792355878,1.0,1.0,0.0
